trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
IHOP Boutte,Boutte,LA,1115,81858.14,7/28/10
Garcia, Leopoldo A.,Kingsburg,CA,20,357,2/16/14
Gene Morris Company, Inc/ Dir Advantage, LLC,Columbia,SC,0,0,9/15/13
Lions Liquors,Effingham,IL,12,1764.83,7/13/05
Oncor Bridgestone Firestone North America,Hazelwood,MO,1,0,7/9/06
Ultimate Seats,Champaign,IL,3,0,5/31/06
Atrium Nursing Home,East Saint Louis,IL,7,672.82,9/24/06
Childers Place,Amarillo,TX,2,655.48,5/10/07
Gerardo Morado, FLC,Elm City,NC,0,0,1/1/08
Centro Peruano Arequipeo Restaurant,Miami,FL,2,3364.08,8/11/06
Victory Enterprises, Inc.,Davenport,IA,2,103,4/15/03
M F Fashion,San Ysidro,CA,2,0,6/3/03
Morquen Toole Company,Meyersdale,PA,2,1374.66,9/2/12
JAG Construction,Roseville,CA,4,2041.92,1/29/06
R & R Sales,Centerville,IA,3,3381.7,4/1/05
El Rancho #3,Hope Mills,NC,4,8598.51,7/28/07
Faron Green Nursery,Mc Minnville,TN,0,0,3/4/08
Renick's Family Market,Ashville,OH,7,0,10/26/06
BP Gas Station,Jacksonville,FL,4,506.3,12/25/06
