trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
Pinkerton Government Services,Melbourne,FL,1,648,8/1/14
CraCar Construction (UTA Provo),Salt Lake City,UT,2,41.1,3/4/11
APCO,Columbus,OH,8,1919.03,11/25/06
Ashlar of Newtown,Newtown,CT,0,0,11/11/06
Taco Bell/Pizza Hut Express,Albuquerque,NM,0,0,8/22/06
Rice Flooring,Thornton,CO,3,1245.6,9/11/11
Shell Family Fare,Garner,NC,9,7263.04,7/26/10
J.M.S. Enterprises,Willow Grove,PA,36,13158.5,8/6/10
Morgan State University,Baltimore,MD,13,2485.25,8/10/10
ReoSouth, Inc,,Tucker,GA,6,4603.36,7/17/10
Carlos Sanchez, D.D.S,Tracy,CA,2,1947.11,10/2/06
United Cellular, Waxahachie,Waxahachie,TX,5,552.73,1/6/10
McDonald Mazda,Littleton,CO,0,0,3/29/09
Thai Place,Kansas City,MO,14,29845.36,6/28/09
The Lighthouse of Houston,Houston,TX,48,41570.37,6/12/10
Ascend Collection Governor Dinwiddie,Portsmouth,VA,0,0,4/19/10
Motel 6 Akron #4541,Akron,OH,3,958.26,4/5/10
Homewood Suites Galleria,Saint Louis,MO,0,0,4/9/10
BPA Facility Services, Inc,Dallas,TX,11,498.54,9/3/12
State Super Store,Kansas City,KS,3,58.02,4/1/10
Budget Appliance Repair Service,Fort Worth,TX,2,0,9/20/10
Taqueria Puro Jalisco,Pasadena,TX,45,0,8/1/08
Prospect Airport Services, Inc,Salt Lake City,UT,1,0,6/20/10
Fiesta Guadalajara,Meridian,ID,0,0,5/19/10
Morlic Engineering Corp,Miami,FL,0,0,9/23/10
Daniel O. Whyte,Ripley,WV,0,0,5/16/10
YCC & ASSOCIATES, INC,Bronxville,NY,0,0,2/1/12
USPS,Provo,UT,3,0,1/26/12
Becerra, Severino FLC,Edinburg,TX,3,0,5/16/12
Learn and Play Daycare Center,Saint Louis,MO,0,0,6/29/10
William Just Center,Orlando,FL,0,0,10/23/12
Varney Buick GMC,Bangor,ME,0,0,12/11/10
Nurses on Wheels,Corpus Christi,TX,0,0,10/1/10
Perceptions,New York,NY,1,0,8/24/03
Diamond Flooring,Dundee,IL,1,0,10/22/02
Radisson Hotel,New London,CT,1,0,4/1/03
West Michigan Painting,Kalamazoo,MI,2,463.4,9/5/02
Hawg Wild BBQ & More,Monroe,LA,0,0,9/14/10
Kiggins Construction,Pocatello,ID,6,0,6/19/09
States Dental Clinic,North Platte,NE,1,0,6/19/10
All Clean, LLC,Knoxville,TN,1,0,4/28/11
Gettier Commercial Inc.,Sterling,VA,1,0,9/15/10
Platinum Cabaret LLC,Fayetteville,AR,24,7933.31,1/28/09
Excel Utilities,Saint James,MO,11,3231.04,1/24/10
Kash Apparel, LLC,Los Angeles,CA,4,978.91,4/17/10
Flint Energy Services, Inc.,Rifle,CO,114,37097.59,9/24/09
Julio Rosales, FLC,Benton Harbor,MI,3,0,5/1/12
Big Sam's Grill & Bar,San Antonio,TX,3,130.5,3/14/12
Viking Fence Co,Austin,TX,1,349.73,1/1/15
CDT Merchandising,Belmont,NH,0,0,2/4/09
Wolfe Catch,Wolfeboro,NH,0,0,9/21/03
Ginger Cafe,Corpus Christi,TX,6,1230.1,12/15/14
Atlas Pest Control,Norman,OK,5,1187.98,5/20/04
Indian Hills Healthcare Community,Ogallala,NE,9,6669.42,11/4/13
Ogallala Conoco / Subway,Ogallala,NE,2,51.84,3/22/14
Joey Accardi Subaru,Pompano Beach,FL,0,0,12/1/13
Ready Set Grow Preschool and Kindergarten,Covina,CA,3,562.5,1/14/14
Line Market,Memphis,TN,3,6784,10/27/13
L and S Express,Covington,TN,4,193.88,11/1/13
Sitel Operating Corporation,Las Vegas,NV,2,2887.62,5/19/14
Hickory Hill Citgo,Memphis,TN,1,0,10/23/13
Exxon Mart Downtown,Memphis,TN,3,210.37,10/28/13
National Barricade Company (NBC),Phoenix,AZ,0,0,12/22/13
All About Socks,Corvallis,OR,2,318.17,8/31/14
7-Eleven,Auburn Hills,MI,3,4516.09,10/23/13
Coache's Crab Shack,Morgantown,WV,8,2235.8,11/15/13
U.S. Sprinkler, Inc.,Nashville,TN,8,1392.05,8/30/15
Pacific Weather, Inc.,Port Angeles,WA,1,1031.97,1/1/14
Scripps Ranch Swim&Raquet Club aka SRSRC,San Diego,CA,10,0,10/26/13
Ryan's Fresh Market,Pontiac,MI,4,4666.65,5/1/14
Village Market,Saint Clair Shores,MI,2,0,12/15/13
Vernor Food Center,Detroit,MI,8,841.61,10/30/13
Applied Consultants Inc.,Longview,TX,0,0,1/12/14
B & V Clothiers, LLC DBA Venissac,Homestead,FL,2,525.4,11/19/13
Soho Japanese Restaurant,Las Vegas,NV,4,7704.44,10/1/13
Jerry's Homes,Urbandale,IA,9,6507.56,10/15/13
Dallas Police Department,Dallas,TX,8,9183.55,9/30/13
Gabriel Gallardo,Bakersfield,CA,0,0,2/4/14
THE CORNER STORE,Center Point,IA,0,0,10/27/13
BP One Trip,Washington,IA,0,0,10/23/13
Mexia Independent School District,Mexia,TX,1,2804.6,1/24/14
Logan's Roadhouse Inc.,Martinsburg,WV,1,0,10/31/13
Lifetime Structures,Waterloo,NE,8,877.41,11/24/13
Unimex Freight,Laredo,TX,2,0,10/22/13
Intertek,Corpus Christi,TX,0,0,12/16/13
Flex Market,Bowling Green,KY,2,8619.09,8/1/14
Harbor Blue Seafood,Fairhaven,MA,0,0,12/8/13
Great Lakes Cheese,Hiram,OH,2,15000,1/18/14
Frito-Lay, Inc.,Dallas,TX,0,0,7/13/15
EMJ Apparel Group, LLC,Los Angeles,CA,1,0,9/16/15
Hampton Inn - Eagle Pass,Eagle Pass,TX,5,793.34,10/25/12
Taco Bell @ Tanger II Riverhead,Riverhead,NY,1,0,12/16/13
Middling Cotton Gin Company, Inc.,Saint Matthews,SC,2,0,12/11/14
H&E Equipment Service,Pompano Beach,FL,0,0,2/11/14
Raisley Painting LLC,Gillette,WY,0,0,9/7/15
YWCA of Houston,Houston,TX,7,10967.97,1/27/14
Randall Myers Land Surveying,Markleysburg,PA,1,0,1/5/14
Hampton Inn & Suites-Mansfield,Mansfield,TX,1,0,8/1/14
Dunkin Donuts,Derby,CT,8,275.05,8/8/10
Ralm,Fayetteville,NC,14,2093,3/20/11
Charlotte Russe,Livingston,NJ,0,0,1/16/14
Covenant Place of Sumter, Inc,Sumter,SC,2,0,1/2/14
Suncor - Shell Gas Station (8020 S. Broadway),Littleton,CO,4,509.89,12/2/13
The Centric Group ,LLC,Columbia,SC,1,0,1/18/14
Suncor Shell Gas Station (2410 E. Arapahoe),Littleton,CO,2,660.32,12/2/13
Otie's Tavern and Grill,Hilliard,OH,17,11914.33,11/24/13
Jay Shree Krishna Little Ferry LLC,Little Ferry,NJ,11,10957.31,6/1/15
Tunnel Ridge, LLC,Triadelphia,WV,1,0,7/6/15
Haagen Dazs (Westfield Sunrise Mall),Massapequa,NY,2,0,9/1/15
Schilo's Delicatessen, Inc.,San Antonio,TX,0,0,1/8/14
Barefoot Billy's of Key West,Key West,FL,31,15961.55,10/28/15
St. Philomena Assisted Living Facility,Orange Park,FL,1,0,3/1/15
Hacienda Del Rio,Albuquerque,NM,1,124.27,7/1/15
Thai Cafe,Santa Fe,NM,2,0,1/12/14
The Little Beet,Garden City,NY,1,0,12/16/13
Cinnabon @ Green Acres,Valley Stream,NY,1,0,12/24/13
Wackenhut Corporation,Reynoldsburg,OH,0,0,5/6/03
Jay's Quality Trees Services,Orlando,FL,1,0,2/25/14
Sweet Water At Largo,Largo,FL,0,0,2/1/14
Pretzel Time @ Roosevelt Field,Garden City,NY,1,0,12/26/13
T & K Hallman Enterprises Llc.,Bethlehem,PA,1,0,11/15/15
Huntington Ingalls Industry,Newport News,VA,1,0,1/27/14
Buca Di Beppo Inc.,Jacksonville,FL,1,0,9/24/06
Sakura Noodle House I,Tamuning,GU,13,10757.47,8/27/06
Harrison Ambulance,Harrison,NY,8,907.76,1/29/07
Ted's Remodeling,Fort Myers,FL,0,0,11/19/06
Great Wall,Reading,PA,0,0,11/2/06
Classic Golf,Omaha,NE,4,674.03,10/11/06
TDG Enterprises,Giddings,TX,2,0,1/17/05
Virgil Moore Steel,Buda,TX,0,0,7/24/11
Flores, Jesus,Hannibal,NY,0,0,12/2/07
Brandon's Diner,Upland,CA,0,0,12/3/06
Jay First Assembly Child Development Center,Jay,FL,2,1132.07,10/4/06
Radisson Hotel,Rapid City,SD,0,0,11/15/06
Expert Tire,Grand Island,NE,0,0,12/9/06
Guam Public School System,Hagatna,GU,74,50003.12,11/6/06
Needham's Mushroom Farms,West Grove,PA,2,0,11/28/06
Pedigo's Steak House,Baton Rouge,LA,2,0,1/7/07
Stump Funeral Home, Inc.,Grantsville,WV,9,5920.86,12/28/06
RTD,Denver,CO,2,0,10/1/08
Clean Sweep,Avon,IN,0,0,6/11/07
First Hyundai,North Attleboro,MA,1,736.34,11/29/06
Forever Friends Development Center,Topeka,KS,8,2790.06,9/16/07
Valley Gin Company,Tornillo,TX,1,0,1/24/07
Telnet Marketing Group, Inc,Raleigh,NC,1,0,5/10/07
August Moon,New Orleans,LA,3,244.43,2/3/07
Wittes Bar-B-Que & Catering,La Vernia,TX,5,19061.51,1/28/07
Rite Aid Corporation,Frankfort,NY,1,58.38,12/11/04
Sweet Peas Restaurant,Riverton,CT,0,0,1/15/07
Minatare Plaza,Minatare,NE,26,0,2/1/07
Almighty Tires,Zephyrhills,FL,1,0,5/1/09
Wal-Mart,Chesterfield,MO,1,0,8/1/08
Guinn  Used Cars,Memphis,TN,5,56052.55,9/2/10
Wire to Wire,Loveland,OH,34,13187.26,2/11/12
Speedy Maintenance,Cincinnati,OH,12,2145.45,10/4/11
Splash!,Lutz,FL,1,0,12/13/09
The Catfish Place,Camden,TN,21,1719.31,9/4/11
Blue Chip Painting,Virginia Beach,VA,5,2993.9,4/7/12
Wienerschnitzel #20,Los Angeles,CA,2,302.86,6/30/10
City of Lone Tree,Lone Tree,CO,50,99440.31,8/9/07
Sesomjai Restaurant,Barrigada,GU,0,0,9/3/06
Burger King #06806,Mableton,GA,1,0,9/25/10
Mannly Painting,South Jordan,UT,0,0,9/26/10
Advanced Eye Care and Contact Lens Center,Lake Geneva,WI,2,838.56,9/16/10
United Sheet Metal,Capitol Heights,MD,0,0,11/15/10
Uvalde County Farmers Cooperative,Knippa,TX,1,68.26,4/10/10
Ruen Pair Restaurant,Los Angeles,CA,0,0,4/25/10
Plato's Closet,Florence,KY,15,4578.75,9/12/10
Houghton Specialty Finishes,Orem,UT,0,0,9/20/10
Twin Lake Farms,West Olive,MI,6,760.95,8/16/12
National and State Park Concessions,Hobe Sound,FL,3,761.93,12/11/10
RCI Drywall,Saratoga Springs,UT,0,0,9/22/10
Quality RX,Bronx,NY,16,35291.97,9/25/10
Remodel West,Ogden,UT,2,3604.03,9/21/10
Divine Toddler Town Day Care,Philadelphia,PA,6,3456.1,9/1/10
Western Meadows Landscaping,Orem,UT,0,0,9/25/10
Xavier Paint Contracting Inc,Lindon,UT,39,60460.7,12/16/10
Valencia, William Alexander (FLC),Madera,CA,12,448,8/19/12
AutoMaster Collisions,San Antonio,TX,30,0,11/17/10
Los Angeles Police Department,Los Angeles,CA,0,0,7/18/11
General Aluminum Co of Texas,Carrollton,TX,0,0,9/16/12
C2 Construction Services,Haymarket,VA,33,18608.11,2/14/10
Town Air Freight,Sterling,VA,3,10591.85,1/1/11
Baymont Hotel & Suites,Corydon,IN,19,4291.77,5/18/09
L & R Pallets, Inc.,Los Angeles,CA,6,7100.86,2/15/09
Cancun Restaurant, Inc.,Newberg,OR,11,6451.71,2/2/09
Best Teriyaki N Sushi,Beaverton,OR,8,1326.38,2/1/09
Hammerlund Construction, Inc.,Grand Rapids,MN,22,76757.19,7/11/09
Bousquet Construction,Dakota Dunes,SD,0,0,9/27/10
Perryopolis Auto Auction,Perryopolis,PA,1,0,7/24/10
Zion Gin Co.,Brownsville,TN,6,0,10/26/10
Dairy Queen #80,Kill Devil Hills,NC,49,2610.51,7/18/10
Embrace Orthodontics,Los Angeles,CA,19,5853.91,10/4/10
Golden Stones,Houston,TX,1,0,7/1/12
Tri City Acoustics,Redlands,CA,28,20677.08,9/16/10
Security Fence Systems,New York,NY,13,5123.64,8/28/09
Eye View Investigations & Security,Laredo,TX,0,0,6/14/14
Allegheny Air Condition and Heating Co,San Antonio,TX,1,0,10/1/15
Julio Rivera Drywall,San Antonio,TX,6,1386.5,1/1/15
Deserios Trattoria,Edison,NJ,2,3977.08,11/3/13
Tri-Con Corp.,Barrigada,GU,11,770.71,10/29/13
Concrete Nor'West,Burlington,WA,7,0,11/9/14
Al Aseel Grill & Cafe,Houston,TX,4,1369.26,4/11/14
Flo Paris French Bakery Cafe,Houston,TX,13,14725.87,5/31/15
Golden Dim Sum,Houston,TX,23,50414.58,10/12/13
Lone Star General Contracting,Santee,CA,0,0,8/14/15
MSL Oil and Gas,Bradford,PA,2,1934.72,11/15/13
Mark LaPierre Orchards,Zillah,WA,12,450.45,1/1/15
LT Cargo,Alsip,IL,5,3712.52,10/1/13
Easy Living Care Home-Norwood,Livermore,CA,2,336,11/16/11
Mercy Hospital,Buffalo,NY,0,0,11/13/04
Quality Inn,Hartsville,SC,7,5161.56,11/7/13
Sandate Construction, Inc.,San Antonio,TX,1,0,12/23/13
A Better Choice Preschool,Fresno,CA,68,60,4/9/03
George Gervin Youth Center, Inc.,San Antonio,TX,1,0,4/23/15
MDA Construction Co,Buford,GA,0,0,5/22/15
Jolav, Inc. (Jet's Pizza),Westland,MI,1,0,1/30/13
ABC Pizza,Riverview,FL,14,2279.67,8/4/13
Daniel Heitman, OD,Alexandria,LA,4,433.3,12/3/13
Ciber,Southfield,MI,2,7590.81,11/13/13
Loco Boutique - Guam Premier Outlets,Tamuning,GU,2,43.44,8/25/13
Loco Boutique - Micronesia Mall,Dededo,GU,1,29.35,8/25/13
Loco Boutique - Pacific Place,Tumon,GU,0,0,8/25/13
J  and N Plumbing,Lawrenceville,GA,0,0,8/31/15
WH Mechanical,Nashville,TN,6,4165.91,9/11/15
Economy Janitorial Service, Inc.,Collinsville,OK,0,0,11/14/13
Amy's Donuts,Colorado Springs,CO,8,653.85,1/1/14
Denver Police Department,Denver,CO,1,0,1/28/14
Aimbridge Hospitality,Houston,TX,1,0,10/18/13
Green Thumb Stone & Landscaping,Houston,TX,13,18416.64,11/8/13
GreenPros,Houston,TX,1,0,10/13/13
Natas Pastries LA's Portuguese Bakery  & Cafe,Sherman Oaks,CA,0,0,3/21/10
TV Diversified,Lake Worth,FL,1,1898.25,9/5/13
Leading Edge Enterprises LLC,Travis AFB,CA,12,34578.15,10/1/08
Kindred Spirits of America, Inc.,Nashville,TN,24,18882.14,8/3/03
Transborder Global Freight Systems,Latham,NY,12,19999.43,6/10/03
American Capital Mortgage,Erie,PA,10,62.77,8/16/03
Highland Pines Nursing Home, LTD,Longview,TX,0,0,8/3/15
Kangaroo Express #3734,Huntsville,AL,1,0,9/14/15
F & D Tank, Inc.,Sanger,TX,0,0,3/1/05
Lewis Concrete Restoration Corporation,Buda,TX,2,1570.16,10/1/13
SAIC,McLean,VA,0,0,9/9/15
Pavecon LTD,Byram,MS,1,4126.25,8/15/14
E-World Travel & Tours Inc.,New York,NY,0,0,4/27/15
Rand Construction,Saipan,MP,0,0,2/12/14
Temco Services - Powers Building,Rochester,NY,2,976.5,10/2/13
Temco Services - Chase Rochester,Rochester,NY,8,2262.71,10/2/13
Temco Services - Rochester Tech Group,Rochester,NY,7,8823.77,10/2/13
Goodwill,Grand Island,NE,0,0,2/11/14
Summerfield Retirement,Bradenton,FL,1,0,12/29/13
ER Centers of America,Lubbock,TX,9,378.94,12/14/13
Shell Gas Station,New Haven,MI,2,575.63,1/16/14
Walden's View Senior Living,Irwin,PA,14,1179.45,7/31/15
The Woodhouse Day Spa,Midland,TX,5,262,3/1/15
Days Inn - Bristol,Bristol,VA,1,0,2/22/14
Musser's Acoustical Ceilings,Lewisburg,WV,2,0,1/4/15
Child Development Center,Salt Lake City,UT,1,0,1/12/14
Masters Inn,Atlanta,GA,3,119.15,1/19/14
Landis C. Deck & Sons Site Contractors,Bernville,PA,1,0,9/25/14
Mac's Short Stop,Lexington,NE,0,0,1/27/14
Fedex,Bethlehem,PA,1,72.5,12/16/15
Little Children's Ministries,Logansport,IN,14,705.73,1/23/14
General Hydronics Inc.,Alamogordo,NM,3,2388.03,4/26/15
Patsy's Pizzeria @ Roosevelt Field,Garden City,NY,1,0,2/18/15
Courtyard/Towne Place Suites by Marriott,Abilene,TX,1,0,5/1/15
Learning Tree Schools (West Jordan),West Jordan,UT,1,0,1/6/14
U.S. Security Assoc.,Scranton,PA,1,580,11/15/15
Blue Arbor Employment Agency,New Bern,NC,0,0,6/23/14
East Carolina Masonry,Greenville,NC,1,0,8/25/14
Quality Inn,Oacoma,SD,1,1485.86,8/30/10
Sam's Pizza and Pub,Highland,IL,0,0,3/21/12
Zoo Kini's,Abilene,TX,67,7837.48,7/10/06
Bankrate, Inc,Denver,CO,470,35108.85,7/26/10
C&K Construction,Portales,NM,6,3732.98,6/17/12
Falcon Holdings Management LLC,Westlake,TX,16,10275.7,7/6/10
D&S Community Services,McKinney,TX,14,21444.46,7/19/10
Vargas, Uriel (HP),Arcadia,FL,0,0,1/11/09
Ignition Inc d/b/a UMI,Boston,MA,8,2509.83,6/30/07
McKenzie Oil Co,Troy,AL,0,0,5/5/07
Red Eye Cafe,Indianapolis,IN,0,0,10/2/06
Boynton Tech, Inc.,Lake Worth,FL,0,0,7/29/07
Mall Stadium 7 Theatre,Grand Island,NE,1,0,7/10/07
Cibola,Wichita,KS,14,2395.97,5/5/03
Wendy's,Denton,TX,0,0,3/23/09
St Augustine's Church,Peru,NY,2,971.13,4/3/07
Adrenalina,Miami,FL,0,0,7/10/07
Starbucks,Tulsa,OK,0,0,7/28/07
Barker Poduce, Inc.,Las Cruces,NM,0,0,7/13/09
Starke Family Medical Clinic,Gainesville,FL,11,882.51,5/19/10
Majestic Cinema,Meridian,ID,0,0,8/4/07
Kerwest Logging,Westville,SC,10,10546.93,8/24/04
Big Island Modular,Kamuela,HI,0,0,7/20/08
SL Nabors,Rockwall,TX,8,2991.42,7/24/10
Noel Construction,Albuquerque,NM,3,11333.02,7/30/10
Morphis Pediatric,Hartsville,SC,11,0,9/18/10
Red Lobster,Davenport,IA,0,0,9/6/07
Colin's Labor Contractor, Inc,Madera,CA,6,0,6/11/12
E.S. Labor,Huron,CA,7,0,11/14/08
B & B Electrical & Utility Contractors, Inc.,Brandon,MS,163,74202.89,8/30/09
Tamara's Downtown LLC,Fairhope,AL,301,146637.25,3/22/09
Subway,Clearwater,FL,124,7514.62,2/5/09
Ahead of the Curve Child DevelopmentCenterLLC,Billings,MT,2,466.66,9/26/10
The Money Man, LLC,El Mirage,AZ,7,10173.71,5/19/07
Lucky,Sunnyvale,CA,4,0,4/28/07
A Bell's Small Engine Repair,Tulsa,OK,12,23703.76,2/27/10
Maxima Group and Associates, Inc.,Hollywood,FL,52,10585.31,6/1/10
Breaker Group, INC,Mount Holly,NJ,1,0,9/11/13
Advanced Concrete Services,Dallas,TX,1,0,9/18/10
Villa Nova E.,Pelham,NY,2,218.07,5/10/04
Mike Stroud & Darroll Buddy Collins Farms,Mullins,SC,1,0,1/1/05
Tepanyaki Japanese Steakhouse,West Jordan,UT,5,1440,7/19/12
Shady Lane,Warren,MI,2,195.95,9/18/10
Burger King,San Marcos,TX,0,0,9/1/05
Boyne Machine,Jenison,MI,6,5177.07,1/11/03
Fritch Police Department,Fritch,TX,3,486.15,11/1/10
Clyde Nursing Center,Clyde,TX,6,303.57,8/30/10
Bel Air Manor,Newington,CT,17,1695.19,10/1/10
Northwest Group, Inc.,Portland,OR,0,0,10/17/10
ADS Security,Melbourne,FL,2,168.44,9/27/10
Alegre Encuentro Adult Daycare,Brownsville,TX,3,0,8/12/11
C.J.'s Seafood,Breaux Bridge,LA,0,0,6/1/12
Premium Destinations,Ormond Beach,FL,7,9830.71,10/1/10
Young Entrepreneur Express,Englewood Cliffs,NJ,8,13843.26,10/11/10
Sato Steakhouse,Fresh Meadows,NY,0,0,11/1/12
TitleMax,College Park,GA,0,0,9/11/10
Sodexo,Tioga,ND,2,446.21,2/19/12
Stacked,Oak Lawn,IL,1,963.81,2/26/11
The DRC Group,Cuero,TX,4,4509.65,1/10/12
Edgewood Vista,Bismarck,ND,0,0,9/21/10
Walton Enterprises Ltd.,San Antonio,TX,0,0,10/1/11
The Villages of St. Peters,Saint Peters,MO,1,0,10/26/11
Healthcare Services Group,Worcester,MA,0,0,9/12/10
Corpus Christi Radiology,Corpus Christi,TX,3,5621.91,8/24/03
Grand Junction Regional Center,Grand Junction,CO,5,20.15,9/1/10
Ruchi Palace - Carrollton,Carrollton,TX,4,6911.54,9/18/10
Lowe's Home Improvement,Hanford,CA,0,0,10/1/12
Lil' B's,Moundsville,WV,1,0,2/26/12
El Pueblo Mexican Restaurant and Cantina,Portland,OR,6,3116.92,10/1/10
D & D Advertising Enterprises, Inc.,Cincinnati,OH,103,22090.62,5/3/09
Dowell Trucking Inc.,Stockton,CA,36,50850,1/15/09
American Sign & Striping Company,Englewood,CO,0,0,3/2/09
Central TX College - Fort Hood,Killeen,TX,26,7559.63,4/27/12
Daily Maid,Pleasantville,NY,0,0,2/10/10
Dua Electrical Contracting LLC,Clifton,NJ,7,8349.93,8/2/14
T&C Management,Albuquerque,NM,24,3899.49,10/21/13
Chick-Fil-A at Deer Park,Deer Park,TX,8,0,10/23/13
UCC Hawaii Coffee Estate,Holualoa,HI,19,1658.52,7/21/14
Kona Earth,Holualoa,HI,1,0,10/16/13
La Brea Bakery,Los Angeles,CA,2,936.67,3/6/10
Avera Flandreau Hospital,Flandreau,SD,10,624.02,9/21/09
V.C. Jr. Construction Inc.,San Antonio,TX,1,0,11/1/13
Kwik n Kleen Shell & Food,Mount Vernon,WA,14,574.88,11/10/13
Mollick Enterprises,Saipan,MP,0,0,12/16/13
Flores Wrecker & Towing,Abilene,TX,2,0,10/30/13
All-Star Wrecker Service,Abilene,TX,1,0,10/31/13
STG International Inc,Alexandria,VA,0,0,1/2/14
Kenmore Gulfmart,Buffalo,NY,2,55.8,2/16/15
Solutions Studio and Spa,Rochester,NY,0,0,2/2/14
First Choice Emergency Room,Dallas,TX,7,668.48,11/10/13
Wish's Pub,Houston,TX,4,703.84,1/5/14
American Health Institute, Inc.,Port Richey,FL,4,3336.71,12/17/13
Gama Mushrooms, LLC,Avondale,PA,13,866.31,11/7/13
Texoma Fleet & Auto Repair LLC,Wichita Falls,TX,3,5292.09,10/30/13
Document Imaging of the Southwest,Albuquerque,NM,11,786.29,11/4/13
Herzog Technologies, Inc.,Albuquerque,NM,1,0,11/5/13
Premier Communications,Fenton,MO,0,0,3/1/04
Providence Real Estate, Inc./Treehaven Glenn,Huntsville,AL,2,0,2/20/15
CPC Logistics Inc.,Willowbrook,IL,2,0,5/29/14
Van Gorp Construction,Pella,IA,1,0,11/7/13
Pollo Fiesta,Dallas,TX,14,2279.36,10/26/13
Swift Security, Inc.,Tampa,FL,31,17250.17,11/1/13
Henning Building Supply,Perth Amboy,NJ,3,4440.2,11/5/13
Washington, Twp. of,Sewell,NJ,1,2454.92,12/5/12
G & F Construction Services,Nashville,TN,0,0,9/13/15
Iowa Decorative Concrete Supply,Cedar Rapids,IA,0,0,7/31/15
US. Bentonite,Casper,WY,0,0,7/9/13
Golan Management, LLC,Oklahoma City,OK,3,2438.28,5/1/03
JJ Global,Tamuning,GU,1,346.29,6/1/15
Sykes Enterprises,Fayetteville,NC,0,0,12/12/13
Safety Professional Solutions,Durham,NC,0,0,6/1/14
Holden Temporaries,New Bern,NC,2,388.17,1/15/14
Kome Buffet,Rowland Heights,CA,0,0,10/26/14
LC Fitness,Las Cruces,NM,1,0,1/7/14
Advanced Women's Health Specialist,Sterling Heights,MI,3,754.56,1/15/14
Brett Dunham Trucking,Jamestown,NY,1,0,11/23/14
Residence at Bay Vue - ALF,Bradenton,FL,0,0,6/13/15
The Lantern of Lake Forest,Lake Forest,IL,23,2419.99,1/30/07
Tommy's Pizza,Dublin,OH,0,0,1/8/14
Harmon House,Carmichael,CA,0,0,2/17/14
Holiday Inn Express & Suites,Rome,GA,0,0,1/15/14
Silver Lane, LLC - HP,Valrico,FL,1,0,8/1/15
Ramos, Roberto - HP,Lake Placid,FL,1,0,12/26/15
Texas Meats of Brownsville,Brownsville,TX,2,0,10/2/15
Vanda Thai Restaurant,Walnut Creek,CA,2,31.4,5/5/15
Vaporfi,Arlington,TX,0,0,8/28/15
Just Windows & Maintenance Service,San Jose,CA,0,0,1/8/14
Top O' Texas Oilfield Services, Ltd,Pampa,TX,1,1076.71,1/29/14
Nex - Gen Paving  Inc,Dumas,TX,0,0,1/30/14
Haagen Dazs @ Westfield Bay Shore,Bay Shore,NY,1,0,12/13/12
Easter Seals - Kirkwood Residential Home,Pomona,CA,0,0,1/8/14
Easter Seals - Winterhaven Residential Home,La Verne,CA,0,0,1/8/14
Easter Seals - Victoria Residential Home,Claremont,CA,0,0,1/8/14
McDonald's West Haven/Watson Management,Ogden,UT,2,0,1/27/14
Swissport Cargo Services, LP,Newark,NJ,0,0,12/3/15
Arenas, Cecilia - HP,Lake Placid,FL,1,0,11/30/15
Florida Department of Children and Families,Palm Bay,FL,0,0,1/28/14
Blue Monkey Sports Restaurant,Catasauqua,PA,5,240.59,7/31/15
Gulf - Kaurmani Mart - 688 Freedom Plains Roa,Poughkeepsie,NY,2,135,8/18/14
Papa John's Pizza,Houston,TX,2,0,4/16/15
Young's Family Flooring,Knoxville,TN,3,1837.57,11/6/14
Food Depot and United Catering,Hayward,CA,1,0,1/12/13
Seven Happiness Tour / Worldnet Holiday, Inc,Burlingame,CA,0,0,1/13/14
Adkinson Retirement Home,Clearwater,FL,2,106.25,1/1/14
Renaissance Senior Living,Tampa,FL,16,0,2/28/15
Live Oak Manor,Sarasota,FL,0,0,2/23/14
Southern Management,Chattanooga,TN,11,23867.66,1/1/09
El Chico Cafe,McKinney,TX,17,3898.9,11/10/09
Cha Cha's,San Antonio,TX,5,199.25,1/14/04
Fulton Construction,Tupelo,MS,0,0,6/13/03
Southland Construction, Inc.,Tupelo,MS,0,0,6/12/03
Rice Precision Manufacturing,Baldwin City,KS,12,46363.76,7/18/10
J G. Hardwood Flooring,Charleston,SC,0,0,1/16/12
Sunpath LLC,Gastonia,NC,10,3535.23,2/19/08
Medical Center Charter Shool,Houston,TX,0,0,3/5/06
At The Car Wash,Rosedale,NY,0,0,7/13/08
Hi-Line Garage,Charlotte,NC,12,5549.4,9/19/10
Carolinas Medical Center,Charlotte,NC,1,10000,3/22/12
Liberty Tax Service,Greeley,CO,6,893.76,1/1/11
Strategy Staff, Inc,North Brunswick,NJ,0,0,6/21/10
Gateway Contracting, Inc.,Jacksonville,FL,29,4232.63,12/7/10
Marker Industries,Junction City,OR,1,289.43,9/1/05
OmniSource Southeast,Kernersville,NC,0,0,9/21/10
Dealer Preferred Warranties, LLC,Saint Charles,MO,1,0,6/1/08
Maplegrove Gluten Free Foods, Inc.,Fontana,CA,42,13878.37,4/30/07
Gillece Plumbing and Heating, Inc.,Bethel Park,PA,17,13515.87,3/31/07
Southern Hills Golf Course,Hastings,NE,2,2055.21,9/1/10
Spartan Gas,Tarpon Springs,FL,3,2604.31,9/10/10
JP Morgan Chase,Melbourne,FL,0,0,1/6/08
Accountemps,Tampa,FL,0,0,6/9/10
Panda Express,Fort Collins,CO,11,1080.9,8/26/10
Soleil Hair & Nail Spa Inc,Corona,CA,1,0,10/10/10
